employee,goal_title,general_goal,challenge_goal,category,weight
부서원1,[중점추진업무] 스킬시스템 신규 기획 및 개발 총괄,"□ 상반기 내 스킬시스템 런칭
□ 일반직원용 기본 기능 개발
 - HR데이터 기반 스킬 추천 기능
 - 나의 스킬 확인하기
□ 부서장 대시보드 개발
 - 나의 부서원 스킬 현황
 - 부서 핵심스킬 등록/관리","□ HR 기능 개발
 - 스킬 기반 인재검색
 - 사내 스킬 인사이트 대시보드
□ 외부 스킬 동향 센싱 개발
 - 경쟁사 채용 동향 크롤링 기능
□ 스킬텍사노미 관리 및 업데이트",AX기반혁신업무,40
부서원1,사내 직무전환시스템 안정화 및 운영 고도화,"1. 안정적 운영체계 유지
- 사용자 문의 및 장애 대응
- 운영 이슈 원인분석 및 재발방지
2. 기능 개선
- 현업 요청사항 반영
- 운영 편의성 개선","1. 운영 자동화
- 반복 운영업무 자동화 스크립트 적용
2. 지표 체계 구축
- 월간 운영 리포트 표준화",일반업무,25
부서원1,인력운영 시스템 단독 개발,"■ 현업 요구사항 정리 및 화면/기능 정의
 ■ 인력운영 프로세스 반영
 ■ 기본 데이터 입력/조회 기능 구현","■ 운영부서 활용 가능한 수준으로 단독 구축 완료
 ■ 향후 확장 가능한 구조로 설계
 ■ 관리자 기능까지 포함한 1차 오픈",혁신업무,15
부서원1,신규 전입 개발자 온보딩,"- 온보딩 계획 수립: 개발환경 셋업, 코드구조 설명
- 시스템 이해 지원: 직무전환시스템 운영 구조 공유
- 협업 적응 지원: 업무분장 및 개발 규칙 안내","- 2인 모두 독립적으로 개발/운영 가능한 수준 도달
- 문서 기반 온보딩 체계 정착",동료협업,10
부서원1,자기계발,"□ AI 관련 자격 취득 준비
□ OPIc 2등급 취득 준비
□ 업무 적용 가능한 수준의 AI 활용 역량 확보","□ 자격 취득 완료
□ 영어 커뮤니케이션 기본 대응 역량 확보",자기계발,10
부서원2,스킬 서비스 백엔드 개발,"- 스킬 서비스 API 설계 및 구현
- 사용자 스킬 조회/수정 기능 개발
- FastAPI 및 기존 서버 연동 구조 학습","- 추천 기능 연계 가능한 구조로 고도화
- 운영환경 배포까지 수행",AX기반혁신업무,35
부서원2,직무전환시스템 운영 학습 및 대응,"- 기존 시스템 구조 파악
- 운영 이슈 재현 및 수정 방식 학습
- 간단한 운영 요청사항 직접 처리","- 주요 운영 이슈 단독 대응
- 운영 개선 포인트 제안",일반업무,20
부서원2,개발 생산성 자동화,"1. 반복 작업 파악
- 로그 확인
- 배포 후 점검
2. 자동화 시도
- 스크립트 작성
- 개발 보조 도구 검토","1. 운영/개발 자동화 도구 적용
- 반복 작업 시간 절감
2. 간단한 사내 업무 자동화 사례 확보",혁신업무,20
부서원2,신규 시스템 품질 확보,"■ 코드리뷰 반영
■ 테스트 코드 작성
■ 오류 케이스 점검","■ 기본 품질 기준 수립
■ 배포 전 점검체계 정리",동료협업,10
부서원2,자기계발,"- LLM/에이전트 패턴 학습
- 사내 개발표준 및 문서화 방식 이해",- 실제 과제에 적용 가능한 수준으로 체화,자기계발,15
